indi,breed
BM01,BamaXiang
BM02,BamaXiang
BM03,BamaXiang
BM06,BamaXiang
BM07,BamaXiang
BM09,BamaXiang
BM11,BamaXiang
BM19,BamaXiang
BM22,BamaXiang
BM25,BamaXiang
BM27,BamaXiang
BM29,BamaXiang
BM30,BamaXiang
BM31,BamaXiang
BM33,BamaXiang
BM35,BamaXiang
BM38,BamaXiang
BM40,BamaXiang
BM41,BamaXiang
BM43,BamaXiang
DU22M01,Duroc
DU22M02,Duroc
DU22M03,Duroc
DU23M01,Duroc
DU23M02,Duroc
SAMN02665307,Duroc
SAMN09930402,Duroc
SAMN09930403,Duroc
SAMN10509970,Duroc
SAMN12122743,Duroc
SAMN12122744,Duroc
SAMN14638798,Duroc
SAMN14638799,Duroc
SAMN14638800,Duroc
SAMN14638801,Duroc
SAMN16953956,Duroc
SAMN16953957,Duroc
SAMN16953958,Duroc
SAMN16953959,Duroc
SAMN16953960,Duroc
LR24F01,Landrace
LR24M17,Landrace
LR24M18,Landrace
LR24M19,Landrace
LR24M20,Landrace
LR24M21,Landrace
LR24M22,Landrace
LR30F04,Landrace
SAMN03031146,Landrace
SAMN03031147,Landrace
SAMN03031148,Landrace
SAMN03031149,Landrace
SAMN03031150,Landrace
SAMN03031154,Landrace
SAMN03031155,Landrace
SAMN03031156,Landrace
SAMN03031157,Landrace
SAMN03031158,Landrace
SAMN04440476,Landrace
SAMN06166526,Landrace
